Sample,TranAlignPct
Aip02,78.27
Aip05,75.28
Aip06,73.33
Aip12,76.84
Aip13,76.32
Aip14,76.13
Aip15,76.20
Aip17,78.64
Aip18,76.99
Aip19,75.00
Aip20,68.33
Aip21,76.38
Aip23,80.06
Aip24,78.98
Aip25,77.63
Aip26,75.62
Aip28,69.13
Aip29,77.84
Aip30,73.30
Aip32,77.00
Aip33,74.80
Aip34,72.69
Aip35,75.10
Aip36,80.11
Unk,88.87
